Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
92,79,80,60,83,90,63,83,94,9,6,0,8,9,yes,no,yes,full stack,data science,no,no,poor,medium,IOT,developer,higherstudies,Web Services,yes,no,Journals,Work,no,gentle,Management,work,hard worker,no,no,Applications Developer
65,82,60,83,84,68,63,84,70,11,9,6,3,7,yes,yes,no,information security,web technologies,yes,no,poor,medium,parallel computing,Business process analyst,job,Finance,no,yes,Encyclopedias,Work,yes,gentle,Management,work,smart worker,yes,no,Applications Developer
73,85,70,63,81,68,70,86,67,4,4,4,6,5,no,no,yes,hadoop,hacking,yes,no,excellent,medium,networks,Business process analyst,higherstudies,Sales and Marketing,no,no,Religion-Spirituality,Work,no,stubborn,Management,salary,smart worker,yes,no,Applications Developer
81,67,70,94,63,79,68,80,76,12,8,0,9,6,no,yes,yes,shell programming,cloud computing,yes,yes,poor,poor,Computer Architecture,security,job,Sales and Marketing,no,no,Action and Adventure,Work,yes,gentle,Management,work,smart worker,no,no,Applications Developer
84,60,93,65,94,66,62,88,83,12,1,0,3,4,no,no,yes,hadoop,cloud computing,yes,yes,medium,medium,Software Engineering,cloud computing,job,Product based,no,yes,Comics,salary,no,gentle,Management,work,hard worker,yes,no,Applications Developer
66,63,83,92,63,88,66,93,71,12,1,0,2,4,no,yes,no,distro making,database security,yes,no,poor,poor,Computer Architecture,system developer,job,Testing and Maintainance Services,yes,yes,Horror,salary,yes,stubborn,Management,work,hard worker,yes,yes,Applications Developer
94,94,88,89,61,66,80,73,62,9,2,3,5,1,yes,yes,no,r programming,hacking,yes,no,excellent,medium,networks,developer,job,Cloud Services,no,yes,Satire,Work,no,gentle,Technical,salary,hard worker,yes,yes,Applications Developer
70,72,94,77,86,77,84,75,73,4,6,2,3,9,no,no,yes,information security,game development,yes,no,excellent,excellent,hacking,testing,job,Testing and Maintainance Services,yes,no,Dictionaries,Work,yes,gentle,Management,salary,hard worker,no,yes,Applications Developer
72,80,74,76,65,68,86,71,93,9,2,0,8,7,no,no,no,information security,database security,yes,yes,excellent,poor,data engineering,cloud computing,higherstudies,Product based,no,no,Health,Work,yes,stubborn,Technical,work,smart worker,no,yes,Applications Developer
66,76,90,61,63,84,62,67,75,8,3,2,1,2,no,yes,yes,distro making,database security,yes,yes,excellent,medium,Computer Architecture,security,job,Cloud Services,no,no,Horror,Work,yes,gentle,Technical,work,smart worker,no,no,Applications Developer
92,68,62,69,70,83,86,65,68,8,2,3,2,9,no,yes,no,information security,data science,yes,yes,excellent,excellent,hacking,system developer,higherstudies,Sales and Marketing,yes,no,Series,Work,no,stubborn,Management,work,smart worker,no,yes,Applications Developer
81,93,70,91,94,67,75,61,76,8,5,5,2,6,no,no,no,r programming,cloud computing,yes,no,medium,poor,cloud computing,Business process analyst,job,SAaS services,yes,yes,Self help,Work,no,gentle,Management,salary,hard worker,no,yes,Applications Developer
65,89,69,64,92,65,79,81,84,10,3,5,6,4,yes,yes,yes,hadoop,game development,no,yes,excellent,poor,cloud computing,testing,higherstudies,BPA,no,no,Guide,salary,yes,gentle,Management,work,smart worker,yes,no,Applications Developer
77,80,61,67,83,67,61,81,81,4,1,2,8,9,yes,yes,no,hadoop,system designing,no,no,medium,poor,networks,cloud computing,higherstudies,SAaS services,yes,no,Encyclopedias,Work,no,stubborn,Management,salary,hard worker,no,no,Applications Developer
65,94,80,71,91,61,85,91,66,5,6,1,9,7,no,no,yes,information security,hacking,yes,no,excellent,poor,Management,Business process analyst,job,product development,no,no,History,salary,no,stubborn,Management,work,smart worker,yes,yes,Applications Developer
87,67,82,92,67,67,83,68,94,9,9,0,3,5,no,no,yes,information security,database security,yes,yes,poor,poor,IOT,system developer,higherstudies,SAaS services,yes,no,Religion-Spirituality,Work,no,gentle,Technical,salary,hard worker,no,yes,Applications Developer
81,72,76,74,62,86,74,91,62,8,9,6,5,4,yes,yes,no,hadoop,cloud computing,no,no,medium,poor,parallel computing,Business process analyst,higherstudies,Sales and Marketing,yes,yes,Cookbooks,salary,no,stubborn,Technical,work,hard worker,no,no,Applications Developer
85,83,65,69,84,85,79,75,88,12,8,4,4,5,yes,no,no,information security,game development,yes,yes,poor,poor,programming,security,job,Web Services,yes,no,Math,Work,no,gentle,Management,salary,smart worker,yes,no,Applications Developer
93,61,61,93,63,74,77,82,73,4,9,6,6,2,no,no,yes,full stack,system designing,no,yes,medium,poor,Management,system developer,job,BPA,no,yes,Biographies,salary,yes,gentle,Management,salary,smart worker,no,no,Applications Developer
75,66,84,66,76,72,69,63,64,7,6,5,5,7,no,no,no,full stack,testing,yes,yes,medium,excellent,cloud computing,Business process analyst,higherstudies,Product based,no,yes,Drama,Work,no,stubborn,Technical,salary,smart worker,no,no,Applications Developer
62,91,67,76,74,72,74,61,80,7,2,3,4,4,yes,yes,no,shell programming,system designing,yes,yes,excellent,medium,cloud computing,Business process analyst,job,Finance,no,yes,Journals,salary,yes,stubborn,Management,work,smart worker,no,yes,Applications Developer
78,62,77,94,90,60,61,65,92,11,9,0,8,4,no,no,no,information security,system designing,no,no,poor,medium,programming,developer,higherstudies,Finance,no,yes,Health,Work,no,gentle,Technical,salary,smart worker,no,no,Applications Developer
63,82,76,71,83,86,90,91,91,9,4,2,9,3,yes,no,no,shell programming,game development,no,no,medium,medium,parallel computing,system developer,higherstudies,BPA,no,no,Anthology,Work,no,stubborn,Technical,salary,smart worker,no,no,Applications Developer
68,64,63,74,91,88,77,60,67,4,5,3,7,1,no,no,yes,shell programming,system designing,yes,no,excellent,medium,cloud computing,security,higherstudies,Sales and Marketing,no,no,Biographies,salary,no,stubborn,Technical,work,hard worker,no,yes,Applications Developer
77,66,92,83,91,63,61,83,82,7,9,0,9,7,no,yes,no,app development,data science,yes,no,poor,medium,Computer Architecture,security,job,SAaS services,no,no,History,salary,no,gentle,Management,work,hard worker,yes,no,Applications Developer
90,62,87,76,75,87,63,86,80,12,1,2,5,4,yes,yes,yes,hadoop,game development,yes,no,excellent,poor,data engineering,Business process analyst,higherstudies,Web Services,yes,yes,Diaries,salary,no,gentle,Management,salary,smart worker,yes,no,Applications Developer
83,64,62,61,92,75,93,82,74,6,6,0,2,7,no,yes,yes,r programming,game development,yes,yes,excellent,excellent,hacking,Business process analyst,higherstudies,BPA,yes,no,Health,salary,yes,gentle,Management,work,hard worker,no,yes,Applications Developer
76,89,78,91,67,82,84,78,93,7,7,1,6,6,yes,no,no,app development,cloud computing,no,no,excellent,excellent,networks,security,job,product development,yes,no,Self help,Work,yes,gentle,Management,work,hard worker,yes,no,Applications Developer
79,79,84,62,91,68,76,66,75,10,5,0,5,1,yes,yes,no,hadoop,game development,yes,yes,excellent,excellent,cloud computing,cloud computing,higherstudies,BPA,no,no,Science fiction,Work,yes,stubborn,Technical,work,smart worker,no,yes,Applications Developer
86,76,82,80,73,76,77,77,81,12,8,2,3,6,no,yes,no,shell programming,web technologies,yes,yes,excellent,excellent,cloud computing,testing,job,product development,yes,no,Science fiction,salary,yes,gentle,Technical,salary,hard worker,yes,no,Applications Developer
62,64,73,63,66,84,78,63,78,11,2,3,9,4,no,no,no,machine learning,database security,no,yes,poor,poor,hacking,cloud computing,job,Finance,no,no,Poetry,Work,yes,gentle,Management,salary,smart worker,yes,no,Applications Developer
63,88,92,85,65,70,66,90,91,11,4,0,4,5,yes,no,yes,information security,testing,no,yes,poor,poor,parallel computing,Business process analyst,higherstudies,Finance,no,no,Romance,salary,no,stubborn,Technical,salary,smart worker,yes,yes,Applications Developer
64,87,64,60,80,71,76,90,74,4,8,1,8,6,yes,yes,no,r programming,system designing,yes,no,medium,excellent,data engineering,security,higherstudies,Cloud Services,no,yes,Horror,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Applications Developer
78,65,75,88,63,94,76,75,66,9,1,1,5,5,no,yes,no,app development,web technologies,no,yes,excellent,poor,Computer Architecture,testing,job,Finance,no,no,Self help,salary,yes,stubborn,Technical,work,smart worker,no,no,Applications Developer
64,60,61,64,67,77,65,86,81,9,6,0,2,3,no,yes,no,python,cloud computing,yes,no,poor,excellent,Management,system developer,higherstudies,BPA,yes,yes,Self help,salary,yes,gentle,Management,salary,hard worker,yes,yes,Applications Developer
61,83,83,85,67,87,92,91,90,6,7,5,2,8,yes,yes,no,hadoop,cloud computing,yes,yes,poor,medium,Management,security,higherstudies,SAaS services,no,yes,Science,Work,no,stubborn,Technical,work,hard worker,no,no,Applications Developer
68,92,68,73,77,91,65,92,85,5,8,1,1,5,yes,yes,yes,shell programming,web technologies,yes,yes,poor,medium,networks,security,higherstudies,Sales and Marketing,yes,no,Biographies,Work,yes,gentle,Technical,salary,hard worker,no,yes,Applications Developer
65,69,93,84,82,70,67,86,65,8,7,4,2,8,no,yes,no,app development,hacking,no,yes,poor,poor,cloud computing,Business process analyst,higherstudies,Web Services,no,no,Dictionaries,salary,yes,stubborn,Management,salary,hard worker,no,yes,Applications Developer
63,84,80,94,76,93,76,60,94,8,2,2,2,1,yes,no,yes,shell programming,data science,yes,no,excellent,excellent,programming,security,job,BPA,no,yes,Diaries,salary,yes,stubborn,Technical,work,hard worker,no,yes,Applications Developer
60,60,93,60,69,93,80,93,93,10,6,2,8,1,no,yes,yes,r programming,data science,yes,no,excellent,poor,networks,cloud computing,job,Product based,yes,yes,Action and Adventure,salary,no,gentle,Management,work,smart worker,no,yes,Applications Developer
72,74,60,66,92,63,76,72,91,11,9,2,6,9,yes,yes,yes,machine learning,cloud computing,yes,no,excellent,excellent,data engineering,developer,job,Sales and Marketing,yes,yes,History,Work,yes,gentle,Technical,salary,smart worker,yes,yes,Applications Developer
66,68,88,80,86,83,87,87,87,9,4,3,5,2,yes,no,yes,hadoop,system designing,no,no,excellent,poor,Computer Architecture,cloud computing,job,BPA,yes,yes,Cookbooks,salary,yes,gentle,Management,salary,hard worker,no,yes,Applications Developer
66,88,66,86,85,82,67,87,93,10,4,0,9,3,no,yes,no,information security,cloud computing,no,yes,poor,medium,parallel computing,developer,job,Service Based,yes,no,Self help,salary,no,gentle,Management,work,hard worker,no,yes,Applications Developer
86,91,92,63,64,69,81,88,88,4,1,5,1,8,yes,no,no,machine learning,hacking,no,no,medium,medium,hacking,Business process analyst,job,Finance,no,yes,Satire,Work,yes,gentle,Management,salary,hard worker,yes,yes,Applications Developer
63,78,84,79,60,80,94,93,93,6,2,2,8,3,yes,no,no,machine learning,system designing,no,yes,poor,excellent,hacking,testing,higherstudies,SAaS services,yes,no,Series,Work,no,gentle,Technical,salary,hard worker,no,yes,Applications Developer
80,88,88,65,87,88,72,83,66,12,6,2,1,8,yes,yes,yes,hadoop,web technologies,no,yes,excellent,excellent,programming,security,higherstudies,Web Services,yes,yes,Trilogy,Work,yes,stubborn,Management,work,hard worker,no,no,Applications Developer
67,78,81,75,64,90,92,65,72,4,9,0,6,1,yes,yes,no,r programming,data science,yes,no,poor,poor,data engineering,developer,job,Testing and Maintainance Services,yes,no,Poetry,salary,yes,stubborn,Technical,salary,smart worker,yes,yes,Applications Developer
69,85,60,61,60,67,67,79,74,11,9,5,5,4,yes,yes,yes,shell programming,game development,no,no,excellent,poor,networks,Business process analyst,higherstudies,product development,yes,yes,Autobiographies,Work,yes,stubborn,Management,work,smart worker,no,yes,Applications Developer
85,94,66,71,61,68,90,74,90,11,5,0,1,7,yes,yes,no,hadoop,system designing,no,no,excellent,medium,parallel computing,system developer,job,Service Based,no,no,Science,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Applications Developer
78,86,61,71,90,76,66,68,73,11,5,5,7,8,yes,yes,no,machine learning,game development,yes,no,medium,poor,networks,system developer,higherstudies,Finance,yes,yes,Self help,Work,no,stubborn,Management,work,smart worker,no,no,Applications Developer
89,66,84,72,60,93,72,90,92,10,3,0,7,9,yes,no,yes,full stack,system designing,yes,yes,medium,poor,data engineering,security,higherstudies,product development,yes,yes,Science fiction,salary,yes,gentle,Technical,salary,hard worker,no,no,Applications Developer
79,85,94,86,67,89,62,76,74,9,2,6,6,1,yes,no,yes,hadoop,cloud computing,yes,yes,poor,medium,IOT,Business process analyst,job,Sales and Marketing,no,yes,Prayer books,salary,yes,gentle,Technical,work,hard worker,yes,yes,Applications Developer
76,87,80,75,63,70,87,85,93,12,3,1,1,8,no,no,no,r programming,data science,no,no,excellent,poor,parallel computing,developer,higherstudies,Product based,yes,yes,Travel,salary,yes,stubborn,Management,work,smart worker,yes,yes,Applications Developer
81,66,71,90,76,82,91,72,84,4,6,0,4,4,no,yes,yes,r programming,cloud computing,no,no,excellent,medium,IOT,developer,job,Finance,yes,no,Biographies,salary,no,gentle,Technical,work,smart worker,yes,no,Applications Developer
84,81,81,88,66,84,90,79,76,10,1,0,9,2,yes,no,no,hadoop,system designing,no,no,poor,excellent,data engineering,system developer,higherstudies,Web Services,no,yes,Comics,salary,yes,stubborn,Technical,salary,smart worker,yes,yes,Applications Developer
79,70,84,76,94,69,67,74,71,4,7,6,9,3,no,no,yes,full stack,testing,yes,no,medium,medium,hacking,Business process analyst,higherstudies,SAaS services,no,yes,Prayer books,Work,no,stubborn,Technical,salary,hard worker,no,yes,Applications Developer
77,85,67,87,73,61,63,93,71,11,4,6,4,6,yes,no,no,hadoop,testing,yes,no,medium,poor,cloud computing,cloud computing,job,Cloud Services,no,yes,Guide,Work,no,stubborn,Management,work,hard worker,yes,yes,Applications Developer
81,65,92,77,79,69,81,73,94,11,4,5,4,4,yes,yes,no,hadoop,hacking,yes,yes,excellent,medium,Computer Architecture,cloud computing,job,Finance,yes,yes,Comics,Work,no,stubborn,Technical,salary,hard worker,yes,yes,Applications Developer
63,81,67,94,91,74,93,84,79,5,9,4,6,4,yes,no,yes,information security,cloud computing,yes,no,medium,excellent,programming,security,job,Cloud Services,yes,yes,Drama,Work,no,gentle,Management,salary,smart worker,no,yes,Applications Developer
68,82,81,85,68,64,85,75,85,4,8,6,1,8,no,no,no,r programming,database security,yes,yes,excellent,poor,programming,testing,higherstudies,Testing and Maintainance Services,yes,yes,Health,salary,no,stubborn,Technical,work,hard worker,no,yes,Applications Developer
83,73,66,86,71,65,83,94,78,10,1,6,4,5,yes,no,yes,full stack,hacking,no,no,medium,excellent,cloud computing,testing,higherstudies,Service Based,yes,yes,Health,salary,no,gentle,Management,work,smart worker,no,no,Applications Developer
63,94,93,69,67,79,66,65,91,9,2,4,5,3,yes,yes,yes,machine learning,data science,yes,no,medium,excellent,cloud computing,cloud computing,job,Testing and Maintainance Services,yes,yes,Religion-Spirituality,salary,no,stubborn,Management,work,smart worker,yes,no,Applications Developer
94,93,71,79,88,85,94,75,77,11,6,4,3,3,yes,yes,yes,r programming,testing,no,no,medium,excellent,networks,Business process analyst,higherstudies,Sales and Marketing,no,no,Self help,salary,no,stubborn,Technical,salary,smart worker,no,yes,Applications Developer
85,79,60,64,86,90,87,89,71,11,4,2,7,3,yes,yes,yes,information security,web technologies,no,no,excellent,medium,networks,developer,higherstudies,Testing and Maintainance Services,yes,no,Health,Work,yes,stubborn,Management,salary,smart worker,yes,no,Applications Developer
74,66,78,65,77,64,90,78,72,5,1,4,7,6,no,yes,yes,r programming,data science,no,yes,excellent,poor,Computer Architecture,testing,higherstudies,Service Based,no,no,Travel,salary,no,gentle,Management,work,hard worker,no,yes,Applications Developer
85,74,78,63,92,94,70,74,80,11,5,5,3,1,no,yes,yes,python,web technologies,no,yes,excellent,excellent,IOT,security,job,BPA,no,no,Health,salary,no,gentle,Technical,salary,hard worker,yes,yes,Applications Developer
74,66,92,81,87,89,82,82,78,12,4,0,7,2,no,no,no,distro making,system designing,yes,no,excellent,excellent,parallel computing,testing,higherstudies,Testing and Maintainance Services,no,no,Science,Work,yes,gentle,Management,work,smart worker,no,yes,Applications Developer
85,80,80,93,76,64,80,80,71,7,9,4,3,5,no,no,yes,app development,data science,yes,yes,poor,excellent,Computer Architecture,cloud computing,higherstudies,Web Services,no,yes,Religion-Spirituality,salary,no,stubborn,Management,salary,smart worker,yes,yes,Applications Developer
80,76,94,76,80,60,63,73,67,4,3,2,4,4,yes,yes,no,app development,cloud computing,yes,no,excellent,poor,programming,Business process analyst,job,Service Based,no,yes,Guide,salary,no,stubborn,Management,work,hard worker,no,yes,Applications Developer
88,92,71,65,70,94,67,69,64,6,3,3,9,7,no,no,yes,r programming,game development,yes,no,poor,poor,Software Engineering,system developer,job,product development,yes,no,Science,salary,no,gentle,Management,work,hard worker,yes,no,Applications Developer
88,70,79,75,67,64,82,68,67,7,6,2,8,9,yes,no,yes,python,data science,yes,no,medium,medium,Management,testing,higherstudies,SAaS services,no,no,Dictionaries,salary,no,gentle,Technical,salary,hard worker,yes,yes,Applications Developer
82,91,91,76,81,70,72,86,89,10,2,2,2,7,yes,yes,yes,shell programming,data science,yes,yes,excellent,medium,Computer Architecture,cloud computing,job,Finance,yes,no,Self help,Work,no,gentle,Management,salary,hard worker,yes,no,Applications Developer
61,81,90,63,77,68,64,80,89,11,2,6,5,1,yes,no,no,distro making,game development,no,no,poor,poor,hacking,system developer,higherstudies,Finance,yes,yes,Guide,Work,no,gentle,Management,work,hard worker,no,yes,Applications Developer
86,74,75,94,70,88,66,91,69,5,8,6,4,5,no,yes,yes,shell programming,system designing,no,yes,medium,excellent,cloud computing,developer,higherstudies,Sales and Marketing,no,yes,Comics,salary,no,gentle,Technical,salary,smart worker,no,yes,Applications Developer
77,63,65,74,75,76,84,72,87,6,5,3,2,7,no,no,no,r programming,web technologies,yes,no,excellent,poor,networks,cloud computing,higherstudies,Testing and Maintainance Services,no,no,Drama,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Applications Developer
85,90,67,77,85,62,64,91,87,7,8,0,8,2,no,no,yes,python,game development,yes,yes,medium,excellent,Management,Business process analyst,higherstudies,BPA,no,no,Journals,Work,no,gentle,Management,work,hard worker,no,no,Applications Developer
89,87,65,65,87,73,78,67,69,6,2,2,1,7,yes,yes,yes,app development,data science,no,yes,excellent,medium,data engineering,security,higherstudies,Web Services,yes,yes,History,salary,no,stubborn,Technical,work,smart worker,yes,yes,Applications Developer
61,72,87,72,67,76,94,93,80,11,5,4,5,9,yes,no,yes,shell programming,system designing,no,yes,poor,medium,Computer Architecture,system developer,higherstudies,Testing and Maintainance Services,yes,yes,Autobiographies,Work,no,stubborn,Management,work,smart worker,yes,yes,Applications Developer
69,64,60,81,79,94,83,83,79,10,9,0,4,2,yes,yes,yes,shell programming,testing,yes,yes,poor,poor,hacking,cloud computing,higherstudies,Testing and Maintainance Services,no,yes,Autobiographies,Work,no,stubborn,Technical,work,smart worker,no,no,Applications Developer
66,81,81,73,92,87,62,66,83,12,5,3,7,7,no,no,no,r programming,database security,no,no,excellent,medium,networks,security,job,Web Services,yes,yes,Trilogy,salary,no,gentle,Technical,work,smart worker,yes,yes,Applications Developer
72,84,85,60,87,81,73,79,93,11,4,2,8,2,yes,yes,no,hadoop,web technologies,no,yes,medium,medium,Management,cloud computing,job,Sales and Marketing,no,no,Math,Work,yes,gentle,Management,salary,hard worker,yes,no,Applications Developer
75,90,72,61,83,85,83,93,78,5,9,1,7,7,yes,yes,no,information security,game development,yes,yes,excellent,poor,Computer Architecture,cloud computing,job,Cloud Services,no,no,Journals,salary,yes,gentle,Technical,work,hard worker,yes,yes,Applications Developer
63,84,91,88,66,93,67,61,90,7,5,5,1,8,yes,yes,yes,shell programming,system designing,no,yes,excellent,medium,hacking,developer,higherstudies,Finance,yes,no,Dictionaries,salary,no,gentle,Technical,salary,hard worker,yes,yes,Applications Developer
89,89,85,74,93,60,68,87,60,8,1,1,1,9,yes,yes,no,app development,cloud computing,yes,no,poor,medium,Computer Architecture,developer,job,Service Based,no,yes,Trilogy,salary,no,gentle,Technical,salary,smart worker,no,no,Applications Developer
70,67,80,75,79,76,61,75,68,8,7,4,6,9,no,yes,no,machine learning,testing,no,no,medium,poor,networks,testing,higherstudies,Sales and Marketing,no,yes,Fantasy,salary,yes,gentle,Management,salary,smart worker,no,yes,Applications Developer
63,71,85,80,75,74,70,85,75,10,3,1,6,5,no,no,yes,machine learning,data science,yes,yes,poor,poor,Software Engineering,system developer,job,Service Based,no,yes,Cookbooks,salary,yes,stubborn,Management,salary,hard worker,yes,no,Applications Developer
71,81,70,62,89,80,94,71,92,6,6,0,5,7,yes,no,no,app development,game development,no,no,poor,excellent,Software Engineering,security,higherstudies,Product based,no,no,Guide,Work,yes,stubborn,Technical,salary,smart worker,no,no,Applications Developer
93,71,94,65,69,82,64,73,60,7,1,5,5,5,no,yes,yes,shell programming,testing,no,yes,medium,medium,data engineering,Business process analyst,higherstudies,Service Based,no,yes,Childrens,salary,yes,stubborn,Management,salary,hard worker,yes,yes,Applications Developer
80,93,65,69,90,85,66,78,70,12,4,3,1,9,yes,yes,yes,machine learning,cloud computing,yes,no,medium,excellent,Computer Architecture,testing,job,Sales and Marketing,yes,yes,Dictionaries,salary,yes,gentle,Management,salary,hard worker,yes,yes,Applications Developer
85,71,80,71,92,65,93,91,93,10,1,2,3,8,yes,yes,yes,python,system designing,no,yes,medium,poor,data engineering,security,job,BPA,yes,no,Art,Work,yes,gentle,Technical,work,hard worker,no,yes,Applications Developer
80,94,84,79,66,84,76,69,94,6,5,1,5,4,no,no,no,machine learning,game development,no,yes,poor,medium,parallel computing,developer,higherstudies,Cloud Services,yes,yes,Childrens,salary,yes,stubborn,Technical,salary,smart worker,yes,no,Applications Developer
70,91,91,71,77,69,76,79,79,9,9,4,9,4,no,yes,no,hadoop,web technologies,no,yes,poor,excellent,Software Engineering,testing,job,Product based,yes,no,Childrens,salary,no,stubborn,Management,work,hard worker,no,yes,Applications Developer
60,80,61,69,76,65,67,94,92,12,2,1,9,8,no,yes,yes,python,hacking,no,yes,poor,medium,cloud computing,system developer,higherstudies,Cloud Services,yes,no,Cookbooks,Work,no,gentle,Management,salary,hard worker,no,yes,Applications Developer
62,82,77,64,81,94,71,70,82,9,4,4,5,1,no,no,yes,shell programming,hacking,no,no,poor,medium,programming,system developer,higherstudies,Testing and Maintainance Services,yes,no,Science,salary,no,gentle,Technical,salary,smart worker,yes,no,Applications Developer
67,94,68,63,61,72,60,81,87,8,1,5,5,9,no,yes,no,full stack,system designing,no,yes,medium,poor,Software Engineering,developer,job,Service Based,no,no,Health,salary,yes,stubborn,Management,salary,hard worker,yes,yes,Applications Developer
85,87,67,93,80,79,79,82,86,4,1,3,7,3,no,yes,yes,r programming,database security,yes,no,medium,poor,programming,system developer,higherstudies,Product based,yes,no,Poetry,salary,no,gentle,Management,salary,smart worker,yes,no,Applications Developer
71,67,72,62,63,61,77,62,84,12,7,5,2,8,yes,no,no,full stack,testing,no,no,medium,poor,networks,developer,job,product development,yes,no,Self help,Work,no,stubborn,Management,salary,smart worker,no,no,Applications Developer
93,91,84,62,93,77,90,88,62,9,8,4,9,4,no,yes,no,information security,cloud computing,no,no,poor,excellent,IOT,developer,higherstudies,Web Services,no,no,Health,salary,yes,stubborn,Management,work,hard worker,yes,no,Applications Developer
61,79,89,60,68,62,60,93,64,8,1,2,3,5,yes,no,no,full stack,game development,yes,yes,poor,poor,Computer Architecture,system developer,higherstudies,product development,no,yes,Horror,salary,yes,stubborn,Technical,salary,smart worker,yes,yes,Applications Developer
61,69,66,84,61,92,67,75,76,9,5,6,7,9,no,yes,yes,distro making,cloud computing,yes,yes,poor,excellent,parallel computing,testing,job,SAaS services,yes,no,Satire,Work,no,stubborn,Technical,work,smart worker,no,no,Applications Developer
88,60,70,82,76,85,85,62,66,9,9,6,3,5,no,no,no,app development,hacking,no,no,medium,excellent,Computer Architecture,security,higherstudies,product development,yes,no,Anthology,Work,yes,stubborn,Management,work,hard worker,yes,yes,Applications Developer
69,88,80,77,90,77,91,65,79,11,4,6,1,9,no,yes,no,shell programming,cloud computing,yes,no,excellent,medium,parallel computing,cloud computing,job,Testing and Maintainance Services,no,yes,Self help,Work,yes,stubborn,Technical,salary,hard worker,no,yes,Applications Developer
88,93,93,68,63,80,73,68,67,8,6,1,7,4,no,no,yes,information security,web technologies,no,yes,excellent,excellent,parallel computing,Business process analyst,higherstudies,Finance,yes,yes,History,salary,yes,gentle,Technical,salary,smart worker,no,yes,Applications Developer
